pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time,signposted_as
PW.E.12711_1.127,E.12711,1.127,1,0,60,"Accés per Trafalgar"
PW.1.127_E.12721,1.127,E.12721,1,0,60,"Sortida per Bruc"
PW.E.12721_1.127,E.12721,1.127,1,0,60,"Accés per Bruc"
PW.E.12801_1.128,E.12801,1.128,1,0,60,"Accés per Avda. Vilanova"
PW.1.128_E.1012801,1.128,E.1012801,1,0,60,"Sortida per Avda. Vilanova"
PW.1.128_E.12801,1.128,E.12801,1,0,60,"Sortida per Avda. Vilanova"
PW.E.1012801_1.128,E.1012801,1.128,1,0,60,"Accés per Avda. Vilanova"
PW.1.128_E.12811,1.128,E.12811,1,0,60,"Sortida per Nàpols"
PW.E.12811_1.128,E.12811,1.128,1,0,60,"Accés per Nàpols"
PW.E.12812_1.128,E.12812,1.128,1,0,60,"Accés per Roger de Flor"
PW.1.128_E.12812,1.128,E.12812,1,0,60,"Sortida per Roger de Flor"
PW.1.129_E.12901,1.129,E.12901,1,0,60,"Sortida per L'Auditori"
PW.E.12901_1.129,E.12901,1.129,1,0,60,"Accés per L'Auditori"
PW.1.129_E.1012901,1.129,E.1012901,1,0,60,"Sortida per L'Auditori"
PW.E.1012901_1.129,E.1012901,1.129,1,0,60,"Accés per L'Auditori"
PW.E.12902_1.129,E.12902,1.129,1,0,60,"Accés per Almogàvers"
PW.1.129_E.12902,1.129,E.12902,1,0,60,"Sortida per Almogàvers"
PW.E.13001_1.130,E.13001,1.130,1,0,60,"Accés per Plaça de les Glòries Catalanes"
PW.1.130_E.13001,1.130,E.13001,1,0,60,"Sortida per Plaça de les Glòries Catalanes"
PW.1.130_E.13002,1.130,E.13002,1,0,60,"Sortida per Badajoz"
PW.E.13002_1.130,E.13002,1.130,1,0,60,"Accés per Badajoz"
PW.E.13011_1.130,E.13011,1.130,1,0,60,"Accés per Avda. Meridiana"
PW.1.130_E.13011,1.130,E.13011,1,0,60,"Sortida per Avda. Meridiana"
PW.1.130_E.1013011,1.130,E.1013011,1,0,60,"Sortida per Avda. Meridiana"
PW.E.1013011_1.130,E.1013011,1.130,1,0,60,"Accés per Avda. Meridiana"
PW.1.131_1.218,1.131,1.218,2,0,45,"Correspondència L1 - L2"
PW.1.131_E.1013101,1.131,E.1013101,1,0,60,"Sortida per Aragó / Meridiana"
PW.E.1013101_1.131,E.1013101,1.131,1,0,60,"Accés per Aragó / Meridiana"
PW.E.13101_1.131,E.13101,1.131,1,0,60,"Accés per Aragó / Meridiana"
PW.1.131_E.13101,1.131,E.13101,1,0,60,"Sortida per Aragó / Meridiana"
PW.E.13111_1.131,E.13111,1.131,1,0,60,"Accés per València"
PW.1.131_E.13111,1.131,E.13111,1,0,60,"Sortida per València"
PW.1.132_E.13201,1.132,E.13201,1,0,60,"Sortida per Navas de Tolosa"
PW.E.1013201_1.132,E.1013201,1.132,1,0,60,"Accés per Navas de Tolosa"
PW.1.132_E.1013201,1.132,E.1013201,1,0,60,"Sortida per Navas de Tolosa"
PW.E.13201_1.132,E.13201,1.132,1,0,60,"Accés per Navas de Tolosa"
PW.E.13211_1.132,E.13211,1.132,1,0,60,"Accés per Biscaia"
PW.1.132_E.13211,1.132,E.13211,1,0,60,"Sortida per Biscaia"
PW.1.133_1.526,1.133,1.526,2,0,45,"Correspondència L1 - L5"
PW.1.133_1.930,1.133,1.930,2,0,150,"Correspondència L1 - L9NL10N"
PW.1.133_E.13301,1.133,E.13301,1,0,60,"Sortida per Meridiana | Hondures"
PW.E.13301_1.133,E.13301,1.133,1,0,60,"Accés per Meridiana | Hondures"
PW.E.1013301_1.133,E.1013301,1.133,1,0,60,"Accés per Meridiana | Hondures"
PW.1.133_E.1013301,1.133,E.1013301,1,0,60,"Sortida per Meridiana | Hondures"
PW.1.133_E.1013302,1.133,E.1013302,1,0,60,"Sortida per Garcilaso"
PW.1.133_E.13302,1.133,E.13302,1,0,60,"Sortida per Garcilaso"
PW.E.13302_1.133,E.13302,1.133,1,0,60,"Accés per Garcilaso"
PW.E.1013302_1.133,E.1013302,1.133,1,0,60,"Accés per Garcilaso"
PW.E.13303_1.133,E.13303,1.133,1,0,60,"Accés per Hondures"
PW.1.133_E.13303,1.133,E.13303,1,0,60,"Sortida per Hondures"
PW.E.13311_1.133,E.13311,1.133,1,0,60,"Accés per Jardins d'Elx"
PW.E.1013311_1.133,E.1013311,1.133,1,0,60,"Accés per Jardins d'Elx"
PW.1.133_E.13311,1.133,E.13311,1,0,60,"Sortida per Jardins d'Elx"
PW.1.133_E.1013311,1.133,E.1013311,1,0,60,"Sortida per Jardins d'Elx"
PW.1.134_E.13401,1.134,E.13401,1,0,60,"Sortida per Passeig Fabra i Puig"
PW.E.13401_1.134,E.13401,1.134,1,0,60,"Accés per Passeig Fabra i Puig"
PW.1.134_E.13402,1.134,E.13402,1,0,60,"Sortida per Sòcrates"
PW.E.13402_1.134,E.13402,1.134,1,0,60,"Accés per Sòcrates"
PW.1.134_E.13403,1.134,E.13403,1,0,60,"Sortida per Avinguda Meridiana"
PW.E.13403_1.134,E.13403,1.134,1,0,60,"Accés per Avinguda Meridiana"
PW.1.134_E.13404,1.134,E.13404,1,0,60,"Sortida per Renfe"
PW.E.13404_1.134,E.13404,1.134,1,0,60,"Accés per Renfe"
PW.E.1013411_1.134,E.1013411,1.134,1,0,60,"Accés per Concepción Arenal"
PW.1.134_E.1013411,1.134,E.1013411,1,0,60,"Sortida per Concepción Arenal"
PW.E.13411_1.134,E.13411,1.134,1,0,60,"Accés per Concepción Arenal"
PW.1.134_E.13411,1.134,E.13411,1,0,60,"Sortida per Concepción Arenal"
PW.E.1013501_1.135,E.1013501,1.135,1,0,60,"Accés per Plaça d'Orfila"
PW.1.135_E.13501,1.135,E.13501,1,0,60,"Sortida per Plaça d'Orfila"
PW.E.13501_1.135,E.13501,1.135,1,0,60,"Accés per Plaça d'Orfila"
PW.1.135_E.1013501,1.135,E.1013501,1,0,60,"Sortida per Plaça d'Orfila"
PW.E.13511_1.135,E.13511,1.135,1,0,60,"Accés per Joan Torras"
PW.1.135_E.13511,1.135,E.13511,1,0,60,"Sortida per Joan Torras"
PW.1.136_E.13601,1.136,E.13601,1,0,60,"Sortida per Palomar / costat muntanya"
PW.E.13601_1.136,E.13601,1.136,1,0,60,"Accés per Palomar / costat muntanya"
PW.1.136_E.13602,1.136,E.13602,1,0,60,"Sortida per Palomar / costat mar"
PW.E.1013602_1.136,E.1013602,1.136,1,0,60,"Accés per Palomar / costat mar"
PW.E.13602_1.136,E.13602,1.136,1,0,60,"Accés per Palomar / costat mar"
PW.1.136_E.1013602,1.136,E.1013602,1,0,60,"Sortida per Palomar / costat mar"
PW.1.136_E.13611,1.136,E.13611,1,0,60,"Sortida per Passeig Santa Coloma / costat muntanya"
PW.E.13611_1.136,E.13611,1.136,1,0,60,"Accés per Passeig Santa Coloma / costat muntanya"
PW.E.13612_1.136,E.13612,1.136,1,0,60,"Accés per Passeig Santa Coloma / costat mar"
PW.1.136_E.13612,1.136,E.13612,1,0,60,"Sortida per Passeig Santa Coloma / costat mar"
PW.1.137_E.13701,1.137,E.13701,1,0,60,"Sortida per Via Bàrcino"
PW.E.13701_1.137,E.13701,1.137,1,0,60,"Accés per Via Bàrcino"
PW.E.1013702_1.137,E.1013702,1.137,1,0,60,"Accés per Parc de la Trinitat"
PW.1.137_E.13702,1.137,E.13702,1,0,60,"Sortida per Parc de la Trinitat"
PW.E.13702_1.137,E.13702,1.137,1,0,60,"Accés per Parc de la Trinitat"
PW.1.137_E.1013702,1.137,E.1013702,1,0,60,"Sortida per Parc de la Trinitat"
PW.1.138_E.1013801,1.138,E.1013801,1,0,60,"Sortida per Riu Besòs"
PW.E.13801_1.138,E.13801,1.138,1,0,60,"Accés per Riu Besòs"
PW.E.1013801_1.138,E.1013801,1.138,1,0,60,"Accés per Riu Besòs"
PW.1.138_E.13801,1.138,E.13801,1,0,60,"Sortida per Riu Besòs"
PW.1.139_E.13901,1.139,E.13901,1,0,60,"Sortida per Plaça de la Vila"
PW.E.13901_1.139,E.13901,1.139,1,0,60,"Accés per Plaça de la Vila"
PW.E.1013901_1.139,E.1013901,1.139,1,0,60,"Accés per Plaça de la Vila"
PW.1.139_E.1013901,1.139,E.1013901,1,0,60,"Sortida per Plaça de la Vila"
PW.E.13902_1.139,E.13902,1.139,1,0,60,"Accés per Llorenç Serra"
PW.1.139_E.13902,1.139,E.13902,1,0,60,"Sortida per Llorenç Serra"
PW.E.13903_1.139,E.13903,1.139,1,0,60,"Accés per Avinguda Santa Coloma"
PW.1.139_E.13903,1.139,E.13903,1,0,60,"Sortida per Avinguda Santa Coloma"
PW.1.140_1.942,1.140,1.942,2,0,45,"Correspondència L1 - L9N"
PW.1.140_E.14001,1.140,E.14001,1,0,60,"Sortida per Sicília"
PW.E.14001_1.140,E.14001,1.140,1,0,60,"Accés per Sicília"
PW.E.14002_1.140,E.14002,1.140,1,0,60,"Accés per Mossèn Cinto Verdaguer"
PW.E.1014002_1.140,E.1014002,1.140,1,0,60,"Accés per Mossèn Cinto Verdaguer"
PW.1.140_E.14002,1.140,E.14002,1,0,60,"Sortida per Mossèn Cinto Verdaguer"
PW.1.140_E.1014002,1.140,E.1014002,1,0,60,"Sortida per Mossèn Cinto Verdaguer"
PW.1.210_1.9901,1.210,1.9901,2,0,60,"Correspondència L2 - FM"
PW.1.210_1.323,1.210,1.323,2,0,15,"Correspondència L2 - L3"
PW.E.21001_1.210,E.21001,1.210,1,0,60,"Accés per Nou de la Rambla"
PW.1.210_E.21001,1.210,E.21001,1,0,60,"Sortida per Nou de la Rambla"
PW.E.21002_1.210,E.21002,1.210,1,0,60,"Accés per Avinguda Paral·lel"
PW.E.1021002_1.210,E.1021002,1.210,1,0,60,"Accés per Avinguda Paral·lel"
PW.1.210_E.21002,1.210,E.21002,1,0,60,"Sortida per Avinguda Paral·lel"
PW.1.210_E.1021002,1.210,E.1021002,1,0,60,"Sortida per Avinguda Paral·lel"
PW.E.21011_1.210,E.21011,1.210,1,0,60,"Accés per Fontrodona"
PW.1.210_E.21011,1.210,E.21011,1,0,60,"Sortida per Fontrodona"
PW.1.210_E.21012,1.210,E.21012,1,0,60,"Sortida per Ronda Sant Pau"
PW.E.21012_1.210,E.21012,1.210,1,0,60,"Accés per Ronda Sant Pau"
PW.1.211_E.1021101,1.211,E.1021101,1,0,60,"Sortida per Villarroel"
PW.1.211_E.21101,1.211,E.21101,1,0,60,"Sortida per Villarroel"
PW.E.1021101_1.211,E.1021101,1.211,1,0,60,"Accés per Villarroel"
PW.E.21101_1.211,E.21101,1.211,1,0,60,"Accés per Villarroel"
PW.1.211_E.21111,1.211,E.21111,1,0,60,"Sortida per Sant Antoni Abat"
PW.E.21111_1.211,E.21111,1.211,1,0,60,"Accés per Sant Antoni Abat"
PW.E.21112_1.211,E.21112,1.211,1,0,60,"Accés per Urgell"
PW.1.211_E.21112,1.211,E.21112,1,0,60,"Sortida per Urgell"
PW.1.212_1.125,1.212,1.125,2,0,45,"Correspondència L2 - L1"
PW.1.212_E.21201,1.212,E.21201,1,0,60,"Sortida per Plaça Universitat"
PW.1.212_E.1021201,1.212,E.1021201,1,0,60,"Sortida per Plaça Universitat"
PW.E.1021201_1.212,E.1021201,1.212,1,0,60,"Accés per Plaça Universitat"
PW.E.21201_1.212,E.21201,1.212,1,0,60,"Accés per Plaça Universitat"
PW.E.21211_1.212,E.21211,1.212,1,0,60,"Accés per Ronda Sant Antoni"
PW.1.212_E.21211,1.212,E.21211,1,0,60,"Sortida per Ronda Sant Antoni"
PW.1.213_1.425,1.213,1.425,2,0,60,"Correspondència L2 - L4"
PW.1.213_1.327,1.213,1.327,2,0,300,"Correspondència L2 - L3"
PW.E.21301_1.213,E.21301,1.213,1,0,60,"Accés per Rbla. Catalunya"
PW.E.1021301_1.213,E.1021301,1.213,1,0,60,"Accés per Rbla. Catalunya"
PW.1.213_E.21301,1.213,E.21301,1,0,60,"Sortida per Rbla. Catalunya"
PW.1.213_E.1021301,1.213,E.1021301,1,0,60,"Sortida per Rbla. Catalunya"
PW.1.213_E.21311,1.213,E.21311,1,0,60,"Sortida per Pau Claris"
PW.E.21311_1.213,E.21311,1.213,1,0,60,"Accés per Pau Claris"
PW.1.214_E.21401,1.214,E.21401,1,0,60,"Sortida per Diputació / Passeig de Sant Joan"
PW.E.21401_1.214,E.21401,1.214,1,0,60,"Accés per Diputació / Passeig de Sant Joan"
PW.E.1021402_1.214,E.1021402,1.214,1,0,60,"Accés per Casp / Passeig de Sant Joan"
PW.E.21402_1.214,E.21402,1.214,1,0,60,"Accés per Casp / Passeig de Sant Joan"
PW.1.214_E.1021402,1.214,E.1021402,1,0,60,"Sortida per Casp / Passeig de Sant Joan"
PW.1.214_E.21402,1.214,E.21402,1,0,60,"Sortida per Casp / Passeig de Sant Joan"
PW.E.1021501_1.215,E.1021501,1.215,1,0,60,"Accés per Marina"
PW.1.215_E.1021501,1.215,E.1021501,1,0,60,"Sortida per Marina"
PW.1.215_E.21501,1.215,E.21501,1,0,60,"Sortida per Marina"
PW.E.21501_1.215,E.21501,1.215,1,0,60,"Accés per Marina"
PW.E.21502_1.215,E.21502,1.215,1,0,60,"Accés per Marina / Plaça de Toros"
PW.1.215_E.21502,1.215,E.21502,1,0,60,"Sortida per Marina / Plaça de Toros"
PW.1.216_1.523,1.216,1.523,2,0,45,"Correspondència L2 - L5"
PW.1.216_E.1021601,1.216,E.1021601,1,0,60,"Sortida per Mallorca - Marina"
PW.E.1021601_1.216,E.1021601,1.216,1,0,60,"Accés per Mallorca - Marina"
PW.E.21601_1.216,E.21601,1.216,1,0,60,"Accés per Mallorca - Marina"
PW.1.216_E.21601,1.216,E.21601,1,0,60,"Sortida per Mallorca - Marina"
PW.E.21701_1.217,E.21701,1.217,1,0,60,"Accés per València / Mallorca"
PW.1.217_E.21701,1.217,E.21701,1,0,60,"Sortida per València / Mallorca"
PW.E.1021702_1.217,E.1021702,1.217,1,0,60,"Accés per València / Aragó"
PW.E.21702_1.217,E.21702,1.217,1,0,60,"Accés per València / Aragó"
PW.1.217_E.1021702,1.217,E.1021702,1,0,60,"Sortida per València / Aragó"
PW.1.217_E.21702,1.217,E.21702,1,0,60,"Sortida per València / Aragó"
PW.1.218_1.131,1.218,1.131,2,0,45,"Correspondència L2 - L1"
PW.1.218_E.1021801,1.218,E.1021801,1,0,60,"Sortida per Sibelius"
PW.E.1021801_1.218,E.1021801,1.218,1,0,60,"Accés per Sibelius"
PW.E.21801_1.218,E.21801,1.218,1,0,60,"Accés per Sibelius"
PW.1.218_E.21801,1.218,E.21801,1,0,60,"Sortida per Sibelius"
PW.1.219_E.1021901,1.219,E.1021901,1,0,60,"Sortida per Fluvià"
PW.E.21901_1.219,E.21901,1.219,1,0,60,"Accés per Fluvià"
PW.1.219_E.21901,1.219,E.21901,1,0,60,"Sortida per Fluvià"
PW.E.1021901_1.219,E.1021901,1.219,1,0,60,"Accés per Fluvià"
PW.E.21911_1.219,E.21911,1.219,1,0,60,"Accés per Bac de Roda"
PW.1.219_E.21911,1.219,E.21911,1,0,60,"Sortida per Bac de Roda"
PW.1.220_E.1022001,1.220,E.1022001,1,0,60,"Sortida per Agricultura"
PW.E.1022001_1.220,E.1022001,1.220,1,0,60,"Accés per Agricultura"
PW.E.22001_1.220,E.22001,1.220,1,0,60,"Accés per Agricultura"
PW.1.220_E.22001,1.220,E.22001,1,0,60,"Sortida per Agricultura"
PW.1.220_E.22011,1.220,E.22011,1,0,60,"Sortida per Cantàbria"
PW.E.22011_1.220,E.22011,1.220,1,0,60,"Accés per Cantàbria"
PW.1.221_1.413,1.221,1.413,2,0,45,"Correspondència L2 - L4"
PW.E.22201_1.222,E.22201,1.222,1,0,60,"Accés per Santander"
PW.1.222_E.22201,1.222,E.22201,1,0,60,"Sortida per Santander"
PW.1.222_E.1022201,1.222,E.1022201,1,0,60,"Sortida per Santander"
PW.E.1022201_1.222,E.1022201,1.222,1,0,60,"Accés per Santander"
PW.1.222_E.22202,1.222,E.22202,1,0,60,"Sortida per Ctra. Mataró"
PW.E.22202_1.222,E.22202,1.222,1,0,60,"Accés per Ctra. Mataró"
PW.E.22301_1.223,E.22301,1.223,1,0,60,"Accés per Ctra. Santa Coloma"
PW.1.223_E.22301,1.223,E.22301,1,0,60,"Sortida per Ctra. Santa Coloma"
PW.1.223_E.1022301,1.223,E.1022301,1,0,60,"Sortida per Ctra. Santa Coloma"
PW.E.1022301_1.223,E.1022301,1.223,1,0,60,"Accés per Ctra. Santa Coloma"
PW.E.22302_1.223,E.22302,1.223,1,0,60,"Accés per Avinguda Joan XXIII"
PW.1.223_E.22302,1.223,E.22302,1,0,60,"Sortida per Avinguda Joan XXIII"
PW.1.224_E.22401,1.224,E.22401,1,0,60,"Sortida per Plaça Sant Roc"
PW.E.22401_1.224,E.22401,1.224,1,0,60,"Accés per Plaça Sant Roc"
PW.E.1022402_1.224,E.1022402,1.224,1,0,60,"Accés per Alfons XII"
